gid,raw,nowcast,lagged,dropnear
42006,0.8464736938476562,0.8606159687042236,0.8248782157897949,0.8942099213600159
42008,0.7281112670898438,0.7890863418579102,0.7252078056335449,0.7818350791931152
42010,0.7282804250717163,0.8023800253868103,0.7329050302505493,0.8001825213432312
42011,0.7425872087478638,0.7556990385055542,0.7566472291946411,0.7695069313049316
43005,0.8689432144165039,0.9248492121696472,0.8986865878105164,0.892662763595581
43006,0.8756178021430969,0.8978782296180725,0.8953377604484558,0.9060313105583191
43007,0.8454039692878723,0.8518257737159729,0.839397668838501,0.8530825972557068
43008,0.7514561414718628,0.8052141666412354,0.726993203163147,0.7760862112045288
43009,0.8937053084373474,0.8983990550041199,0.8950993418693542,0.9009654521942139
43014,0.6686202883720398,0.731948971748352,0.678352952003479,0.7149379253387451
43017,0.7822933197021484,0.8454455137252808,0.8149003386497498,0.8260577321052551
44001,0.7267681360244751,0.8518069982528687,0.7142822742462158,0.8528445959091187
44002,0.825424075126648,0.8525325059890747,0.8139609098434448,0.8603408336639404
44006,0.6942940950393677,0.7707206606864929,0.7401118278503418,0.6384887099266052
45001,0.92067551612854,0.9118157625198364,0.918074369430542,0.9357882142066956
45003,0.8284134864807129,0.8986139297485352,0.8326109647750854,0.9027456045150757
45004,0.7908157110214233,0.8982061147689819,0.8014411926269531,0.8892915844917297
45005,0.8037458658218384,0.898806095123291,0.8146746158599854,0.8862000703811646
45009,0.9135140776634216,0.93433678150177,0.9229742288589478,0.9380240440368652
45012,0.8255530595779419,0.903764009475708,0.8220365047454834,0.903820276260376
46003,0.8737963438034058,0.9650101065635681,0.8841317892074585,0.9489367604255676
46005,0.8045049905776978,0.9282788038253784,0.8183663487434387,0.9168456792831421
47001,0.9282329678535461,0.9540883302688599,0.9309588670730591,0.9637383818626404
47004,0.9219262599945068,0.9638497829437256,0.9289419651031494,0.9540497064590454
47008,0.8358027935028076,0.9228706359863281,0.8509091138839722,0.8990492820739746
