,mu,sd,q90,q95,q99
39061,0.12403173744678497,0.03939516842365265,0.1850000023841858,0.19900000095367432,0.2150000035762787
39081,0.21348008513450623,0.15686601400375366,0.4189999997615814,0.5567999839782708,0.7917199993133557
40005,0.5222799181938171,0.4757736325263977,1.1136999845504767,1.4830000400543213,2.482139999866485
40009,0.31582996249198914,0.24671116471290588,0.5220000147819519,0.7360000014305115,1.3978799772262656
41005,0.4369588792324066,0.2849932909011841,0.6430000066757202,0.9058999776840189,1.86763997554779
41006,0.26038801670074463,0.30784380435943604,0.4819999933242798,0.7149999737739563,1.8765999507904074
41011,0.3892878293991089,0.18876557052135468,0.5820000171661377,0.7749999761581421,1.1385600376129146
41022,0.13148349523544312,0.16573277115821838,0.32350000739097595,0.46549998968839645,0.7912499904632568
41023,0.1336781084537506,0.15811194479465485,0.34700000286102295,0.4180000126361847,0.641780009269715
41027,0.15501102805137634,0.16074270009994507,0.2680000066757202,0.4090000092983246,0.9376400172710413
42001,0.2885468006134033,0.23293520510196686,0.5699999928474426,0.7580000162124634,1.2120000123977661
42008,0.23203229904174805,0.07238753885030746,0.3149999976158142,0.35600000619888306,0.48044999688863826
43005,0.3211429715156555,0.14667336642742157,0.5339999794960022,0.6209999918937683,0.7549999952316284
43006,0.18909302353858948,0.10021268576383591,0.3319999873638153,0.3970000147819519,0.5151200157403936
43007,0.5823350548744202,0.20946967601776123,0.8849999904632568,1.0091499507427213,1.2972300338745113
43008,0.30863624811172485,0.15538030862808228,0.5410000085830688,0.6340000033378601,0.7860000133514404
43009,0.5788981318473816,0.6245318055152893,1.5206000208854697,2.201449942588806,2.7973800683021537
43014,0.28003913164138794,0.09279165416955948,0.39399999380111694,0.46165000647306403,0.6385300046205518
43017,0.18022271990776062,0.12888576090335846,0.35199999809265137,0.4490000009536743,0.6425400125980377
44002,0.43657585978507996,0.19144399464130402,0.7415999889373783,0.8450000286102295,0.9539999961853027
44006,0.14180877804756165,0.06114833801984787,0.2280000001192093,0.26499998569488525,0.33500000834465027
45001,0.5527586936950684,0.3389890193939209,0.968999981880188,1.225000023841858,1.8799399960041032
45003,0.4489996135234833,0.3343982696533203,0.8221000254154209,1.1280999600887285,1.969820030927658
45004,0.48145774006843567,0.34560808539390564,0.906200015544892,1.327599978446959,1.8039200162887574
45005,0.39095205068588257,0.2380707710981369,0.6430000066757202,0.8889999985694885,1.4236400187015528
45009,0.3318118155002594,0.24154424667358398,0.6539999842643738,0.8149999976158142,1.2102999973297075
45012,0.4774738848209381,0.41224268078804016,0.972000002861023,1.2990000247955322,2.041299903392791
46003,0.6498979926109314,0.3909742832183838,1.1069999933242798,1.3980000019073486,2.198729901313781
46005,0.6555314660072327,0.24187873303890228,0.9650999784469608,1.1705499827861778,1.5916400122642511
47001,0.8929641842842102,0.5504302978515625,1.67610000371933,2.0345500111579886,2.6638200259208675
47004,0.4839300513267517,0.26905128359794617,0.8148999989032741,1.00600004196167,1.527189959287644
47008,0.366321861743927,0.2519673705101013,0.6930000185966492,0.8709999918937683,1.2409200525283814
47009,0.18896058201789856,0.12610633671283722,0.375,0.45100000500679016,0.5889099878072738
48004,0.34646499156951904,0.11424113065004349,0.4819999933242798,0.5389999747276306,0.6949999928474426
48005,0.26425108313560486,0.1547946035861969,0.46399998664855957,0.5379999876022339,0.7313600087165802
48011,0.4308418333530426,0.19550348818302155,0.6899999976158142,0.8080000281333923,1.0876199769973727
49002,0.40728217363357544,0.14413248002529144,0.6079999804496765,0.6759999990463257,0.7990000247955322
