gid,nse_raw,nse_norm,nse_log1p,nse_lstm,chalk,gauge_name,d_norm,d_log1p,d_lstm
30014,0.7501037120819092,0.7663487792015076,0.7364493012428284,0.7832525372505188,False,Pointon Lode at Pointon,0.01624506711959839,-0.01365441083908081,0.03314882516860962
31002,0.7052291631698608,0.7856286764144897,0.8486024737358093,0.9050742983818054,False,Glen at Kates Br & King St Br,0.0803995132446289,0.1433733105659485,0.19984513521194458
31006,-0.2769409418106079,0.03803455829620361,0.43306392431259155,0.7697679996490479,False,Gwash at Belmesthorpe,0.3149755001068115,0.7100048661231995,1.0467089414596558
31010,0.7444839477539062,0.7888184785842896,0.7461563348770142,0.8151516318321228,False,Chater at Fosters Bridge,0.0443345308303833,0.0016723871231079102,0.07066768407821655
31021,0.7824755907058716,0.8090166449546814,0.7885280251502991,0.7880403995513916,False,Welland at Ashley,0.026541054248809814,0.00605243444442749,0.0055648088455200195
31023,0.6378710865974426,0.6740606427192688,0.684738278388977,0.7158432602882385,False,West Glen at Easton Wood,0.03618955612182617,0.046867191791534424,0.0779721736907959
32003,0.7240424752235413,0.7337620854377747,0.7141246795654297,0.7729895710945129,False,Harpers Brook at Old Mill Bridge,0.009719610214233398,-0.009917795658111572,0.04894709587097168
32004,0.8115738034248352,0.8267225027084351,0.8358033895492554,0.8419703841209412,False,Ise Brook at Harrowden,0.015148699283599854,0.024229586124420166,0.030396580696105957
32006,0.8484240174293518,0.884408175945282,0.8886474967002869,0.9225809574127196,False,Nene/Kislingbury at Upton Total,0.035984158515930176,0.04022347927093506,0.07415693998336781
32008,0.8663110136985779,0.8765621185302734,0.8880074620246887,0.8920496106147766,False,Nene/Kislingbury at Dodford,0.010251104831695557,0.02169644832611084,0.02573859691619873
33006,0.550249457359314,0.6201999187469482,0.6400788426399231,0.6097434163093567,False,Wissey at Northwold Total,0.06995046138763428,0.08982938528060913,0.059493958950042725
33007,0.7580540776252747,0.7731474041938782,0.8237450122833252,0.913649082183838,False,Nar at Marham,0.015093326568603516,0.06569093465805054,0.15559500455856334
33012,0.7924656867980957,0.8456075191497803,0.8337042331695557,0.8729990720748901,False,Kym at Meagre Farm,0.05314183235168457,0.04123854637145996,0.08053338527679443
33013,0.3194342851638794,0.44367170333862305,0.52767014503479,0.7242416143417358,False,Sapiston at Rectory Bridge,0.12423741817474365,0.20823585987091064,0.40480732917785645
33014,0.7951651811599731,0.8395459651947021,0.8527692556381226,0.840603768825531,False,Lark at Temple,0.044380784034729004,0.057604074478149414,0.04543858766555786
