,gain,mean_donor_km
43005,0.05590599775314331,12.060194203304206
43006,0.022260427474975586,13.637362787912897
43007,0.006421804428100586,12.492867176285671
43008,0.05375802516937256,11.821323504349621
43009,0.004693746566772461,24.075208422693237
43014,0.06332868337631226,9.481234440891631
43017,0.06315219402313232,9.480657285978715
44001,0.12503886222839355,14.909009390230125
44002,0.027108430862426758,14.152930543132408
44006,0.07642656564712524,18.78093833998175
45001,-0.008859753608703613,11.817438304272352
45003,0.07020044326782227,14.33192832047231
45004,0.1073904037475586,23.53223252056458
45005,0.09506022930145264,19.135036848933428
45009,0.02082270383834839,23.04259780910644
45012,0.07821094989776611,13.785238164293588
46003,0.09121376276016224,19.00403214910143
46005,0.12377381324768066,17.544979051695965
47001,0.025855362415313943,11.29481329018543
47004,0.04192352294921875,10.215020487905607
47008,0.0870678424835204,7.210007525410627
47009,0.021046340465545654,12.258718360700348
48004,0.047955334186553844,14.057673746793268
48005,0.03306466341018677,17.86362959966788
48011,0.048128902912140004,14.192239168136595
49002,0.024730324745178223,35.15947437465831
49004,0.03771132230758667,17.44949178200564
50001,0.03616529703140281,11.956466659991387
50002,0.0529823899269104,15.208595983016162
50006,0.015416085720062256,12.120234459314515
51001,0.031175315380096325,19.428887104704476
52004,0.06120651960372925,14.925479616182535
52005,0.04271930456161488,17.100924953423576
52006,0.06374669075012207,13.98688362824741
52007,0.06910699605941772,12.466599474683084
52009,0.021165430545806885,19.240519974703957
52010,0.0615311861038208,13.466971992314617
52011,0.011611342430114746,13.089879767130101
52016,-0.0007555484771728516,17.07878409759748
53005,0.053522229194641,4.950989523567179
53006,0.025960981845855824,13.582888135253578
53007,0.045234858989715576,7.920973379879894
53008,0.054485440254211315,11.897253916830138
53009,0.044943273067474254,5.886919154266699
53013,0.011165380477905273,13.52050630284022
53018,0.02368628978729248,4.917272354723365
54001,-0.022211313247680664,9.988756031229222
54002,0.02366536855697632,8.645283893247724
54003,0.054332733154296875,20.181049485126753
54004,-0.01131582260131836,9.344612043555673
54005,-0.007434844970703125,9.835082615976381
54007,0.09742289781570435,14.255238182103975
54008,0.04399120807647716,17.112222041779813
54012,0.05838656425476074,8.139530154728897
54015,0.0504150390625,10.786171353762994
54017,-0.07258164882659912,15.201127647292552
54018,-0.028060615062713623,10.321569937048688
54019,0.08143007755279541,8.391835167123917
54020,0.03510701656341553,10.683545077975111
54024,0.1081852912902832,15.936554722306752
54025,0.01821756362915039,10.683592319999384
54027,0.015462756156921387,20.464058759747584
54028,0.009299516677856445,12.556393410569825
54029,-0.009557664394378662,15.95981708158365
54032,0.059851109981536865,12.341205746128331
54034,-0.0018749237060546875,10.46807994589887
54036,0.05862760543823242,9.660009002104706
54044,-0.01931619644165039,9.856686086058076
54052,0.007557570934295654,9.856672881624926
54057,0.0670880675315857,13.211920323263646
55002,-0.023626208305358998,16.449166743043705
55007,0.035291552543640026,13.814147411843626
