gid,persist2_L1,persist2_L1_cov,ar_perfect2_L1,ar_perfect2_L1_cov,ar_gefs_L1,ar_gefs_L1_cov,persist2_L2,persist2_L2_cov,ar_perfect2_L2,ar_perfect2_L2_cov,ar_gefs_L2,ar_gefs_L2_cov,persist2_L3,persist2_L3_cov,ar_perfect2_L3,ar_perfect2_L3_cov,ar_gefs_L3,ar_gefs_L3_cov
24004,0.38772332668304443,0.38112545013427734,0.8341485261917114,0.8372020721435547,0.6833324432373047,0.6831992864608765,0.032608747482299805,0.02412337064743042,0.8157317638397217,0.8147115707397461,0.43652844429016113,0.4450730085372925,-0.14870595932006836,-0.15766775608062744,0.8052213191986084,0.8009933233261108,0.4107281565666199,0.42327189445495605
24005,0.3095024824142456,0.315579354763031,0.7900909781455994,0.7887115478515625,0.6093384027481079,0.6066656112670898,-0.1062767505645752,-0.10446429252624512,0.7653692960739136,0.7624300122261047,0.3100578784942627,0.3107876777648926,-0.3237036466598511,-0.32478833198547363,0.7542649507522583,0.7524508237838745,0.3389114737510681,0.3426418900489807
25001,0.2773897051811218,0.28093522787094116,0.846286952495575,0.8445059061050415,0.7165247201919556,0.7212474346160889,-0.09988057613372803,-0.09603369235992432,0.8141813278198242,0.8137750029563904,0.3752601742744446,0.3980046510696411,-0.2548222541809082,-0.252788782119751,0.8036924600601196,0.8059960603713989,0.3121572732925415,0.3368058204650879
25006,0.18161773681640625,0.1719157099723816,0.8007860779762268,0.799630880355835,0.6292148232460022,0.646503746509552,-0.26857686042785645,-0.2724963426589966,0.7704291343688965,0.7686207294464111,0.38290178775787354,0.4155716896057129,-0.40030181407928467,-0.40449750423431396,0.7649341225624084,0.7631335258483887,0.3226507902145386,0.3553274869918823
25012,0.05249166488647461,0.05664247274398804,0.8324408531188965,0.8349663615226746,0.5118619203567505,0.5362406969070435,-0.3081929683685303,-0.3099546432495117,0.7990920543670654,0.8012308478355408,0.2926568388938904,0.31848418712615967,-0.43687498569488525,-0.4342355728149414,0.7925193309783936,0.7940273284912109,0.2278355360031128,0.2512550950050354
25020,0.6874350309371948,0.6943178176879883,0.825851559638977,0.8274906873703003,0.654100239276886,0.6515240669250488,0.2989659905433655,0.30639082193374634,0.7670471668243408,0.7688636779785156,0.3614766597747803,0.36074209213256836,0.02796804904937744,0.03285527229309082,0.755139172077179,0.7593112587928772,0.3396756052970886,0.34207260608673096
26003,0.9875416159629822,0.9874743223190308,0.9594752192497253,0.959413468837738,0.9542462825775146,0.9526861310005188,0.9784488677978516,0.9782689809799194,0.9431971311569214,0.9412901401519775,0.9234572052955627,0.9207120537757874,0.9723032712936401,0.9718406796455383,0.9286964535713196,0.9277366995811462,0.8992201685905457,0.8986518979072571
27001,0.37870341539382935,0.3840543031692505,0.8820528984069824,0.8783843517303467,0.8312375545501709,0.8302749991416931,-0.031218767166137695,-0.031548142433166504,0.8452738523483276,0.8405148983001709,0.5015811920166016,0.5267381072044373,-0.2129840850830078,-0.20883870124816895,0.8356637954711914,0.8293105959892273,0.4343348741531372,0.46429306268692017
27003,0.7193080186843872,0.7087310552597046,0.9440544843673706,0.9428074359893799,0.9393565654754639,0.9365826845169067,0.4250938892364502,0.40213197469711304,0.9259854555130005,0.9279817938804626,0.6935687065124512,0.7043989300727844,0.2304975390434265,0.20041930675506592,0.9155988097190857,0.9142794013023376,0.5665624141693115,0.5913090705871582
27006,0.3460009694099426,0.32660865783691406,0.8378187417984009,0.8329938650131226,0.7349914312362671,0.737352728843689,0.032731056213378906,0.015658259391784668,0.8328651189804077,0.8262289762496948,0.5228175520896912,0.5405367612838745,-0.1330047845840454,-0.1543978452682495,0.819442629814148,0.8139119744300842,0.43791812658309937,0.46094363927841187
27007,0.41806310415267944,0.42606669664382935,0.8661819696426392,0.8678022027015686,0.8227653503417969,0.8302208185195923,0.001055896282196045,0.0023889541625976562,0.8313658833503723,0.8326084613800049,0.45709848403930664,0.4854154586791992,-0.1487586498260498,-0.14578473567962646,0.82867431640625,0.8308690786361694,0.38576042652130127,0.4225524663925171
