gid,tree,lstm_e16,nowcast,q99_halfwidth,extrap_dur,peak_beyond_gauged
42001,-29.668278,-28.481037,-22.937853,13.355,0.0,False
42003,-36.131817,-37.19492,-45.924664,26.33,0.0,False
42004,19.209677,-6.3372493,9.880752,,,False
42006,23.879332,-3.3056588,10.767442,9.545,0.0,False
42008,38.561226,0.5893856,20.290459,9.67,0.07,True
42010,20.25627,-1.1416495,19.898628,10.385,,False
42011,-28.681301,-28.128338,-37.954567,10.665,0.01,True
43005,24.481417,10.396629,11.66153,12.870000000000001,0.0,False
43006,-18.408333,-20.583294,-27.943913,9.25,0.0,False
43007,-12.896177,-14.399687,-17.99922,,0.01,True
43008,35.691654,13.967544,42.494583,9.07,0.01,False
43009,-26.729664,-19.33685,-21.352585,,0.0,False
43014,8.093804,-20.893377,14.685577,,0.02,True
43017,-40.16664,-25.643312,-34.347,,0.06,True
44001,36.798157,2.1930516,30.063032,,,False
44002,15.821534,-17.90506,16.81425,,0.0,False
44006,46.035915,-18.280697,19.100708,8.585,0.22,True
45001,-17.746933,-19.676739,-11.711821,9.855,0.0,False
45003,-24.824017,-38.234043,-19.197151,8.15,0.0,False
45004,-37.24414,-39.901733,-23.317797,29.335,0.01,True
45005,-31.696877,-38.682213,-11.755526,9.395,0.0,False
45009,-16.822853,-18.019611,-7.4055076,10.165,0.09,True
45012,-35.09037,-26.127043,-16.306274,8.15,0.01,False
46003,-23.393353,-26.384172,-9.670493,8.47,0.0,False
46005,-29.512804,-29.116993,-9.223453,18.05,0.0,False
47001,-10.009092,-9.218805,-6.2651634,9.58,0.0,False
47004,-16.90297,-21.415977,-7.613373,11.3,0.01,True
47008,-8.987153,-10.240746,8.904802,19.485,0.02,True
47009,-10.652274,-19.695415,-3.8479865,9.0,0.27,True
48004,-12.36203,-14.729404,-1.06951,10.555,0.05,True
48005,-26.965284,-22.677605,-18.82964,17.174999999999997,0.0,False
48011,-5.846813,-15.430454,-3.6682158,17.57,0.0,False
49002,2.7653575,-8.791939,4.409313,9.7,0.0,False
49004,-28.934677,-34.657345,-25.623974,5.885,0.04,True
50001,-9.809253,-13.268617,-8.128628,9.795,0.0,False
50002,-20.585102,-23.264027,-13.405829,7.175000000000001,0.01,False
50006,-17.829731,-21.030804,-6.2916784,11.774999999999999,0.0,False
51001,-8.076278,-29.037973,1.7287314,22.675,0.06,True
52004,-21.149387,-20.929039,-11.669633,21.53,0.0,False
52005,-3.2173963,-18.58266,-3.340536,12.535,0.0,False
52006,-31.38265,-29.490301,-2.9579787,10.665,0.0,False
52007,-30.472569,-26.492887,-16.884766,,0.0,False
52009,-5.3010316,-25.122564,-0.5396396,33.725,0.02,True
52010,-36.666733,-34.74472,-31.678825,,0.0,False
52011,-0.60708225,-6.6742,7.2842717,13.715,0.01,False
52016,-15.17557,-28.80612,6.9823146,,0.02,True
53005,-28.811121,-30.15416,-16.03011,9.365,0.08,True
53006,-3.4273684,-1.1832565,6.947345,13.195,0.02,True
53007,-15.031672,-25.781063,-6.14295,,1.56,True
53008,-23.710476,-17.341635,-15.959475,13.129999999999999,0.0,False
53009,-14.465216,-26.66815,-6.483093,8.454999999999998,0.6,True
53013,-35.26465,-28.676598,-25.007801,10.46,0.0,False
53018,-14.863401,-5.743122,-6.0218754,16.32,0.0,False
54001,3.7995517,-10.919275,-5.948263,9.995000000000001,0.0,False
54002,-8.424205,-11.031073,5.05169,7.455,0.01,False
54003,-33.379486,-37.487846,-24.781055,,,False
54004,-17.51178,-4.716897,-28.363974,10.49,0.22,True
54005,3.3984542,5.247891,26.073765,17.255000000000003,0.01,True
54007,-49.352806,-33.841022,-38.1798,13.115,0.04,True
54008,-21.860954,-16.543144,-15.877447,9.275,0.01,True
54012,27.17303,8.169699,37.653877,15.03,0.0,False
54015,-47.30313,-28.478691,-43.62066,20.41,,False
54017,-35.66768,-33.422832,-55.80757,,0.33,True
54018,-27.221445,-21.147573,-30.5915,7.8950000000000005,0.02,True
54019,-12.686139,-0.101312995,-8.194595,8.75,0.0,False
54020,21.951586,-9.892201,17.517614,5.779999999999999,0.16,True
54024,16.202766,-23.709557,1.9001126,,0.31,True
54025,-12.877453,-20.404926,3.1742902,,2.75,True
54027,-3.050834,-19.406624,5.5981994,6.6,0.01,False
54028,-23.972765,-24.003119,-28.069466,10.215,0.0,False
54029,-20.626705,-18.481087,-5.9619603,9.295,0.01,False
54032,14.694113,1.6112447,14.79429,,,False
54034,-32.028297,-17.892273,-26.971931,15.43,0.04,True
54036,-19.23764,-35.499184,-22.219833,9.505,0.01,False
54044,3.1003356,-29.020748,11.833132,7.76,0.1,True
54052,-10.063955,-28.772709,4.054433,,,False
54057,24.583757,4.043603,23.392189,10.620000000000001,0.02,False
55002,-19.98226,-19.617622,-19.40934,12.57,0.0,False
55007,-30.116016,-26.390877,-21.18525,7.955,0.0,False
55008,-22.17998,-16.648275,-13.47571,,,False
55013,-9.78593,-19.96389,-11.760751,16.585,0.0,False
55014,-32.740112,-38.173553,-19.56073,11.76,0.02,True
55016,-37.770164,-35.935635,-21.90494,22.049999999999997,0.01,False
55018,-13.720939,-25.408783,-23.809767,16.415,0.09,True
55021,-10.072133,-14.387989,6.761235,20.61,0.0,False
55023,-0.9986788,-8.530653,-1.5607476,15.765,0.02,True
55025,-31.12125,-33.3444,-25.504559,18.09,0.02,True
55026,-33.78356,-39.256416,-24.878258,18.545,0.0,False
55029,-25.804317,-20.64475,-34.17524,11.735,0.0,False
55032,-41.803066,-39.093563,-19.12415,15.38,0.0,False
56001,-27.935818,-24.483341,-25.88385,10.469999999999999,0.0,False
56007,-14.745861,-8.932812,10.345232,,,False
56013,-16.90497,-28.487127,-3.80837,,2.12,True
57004,-32.990715,-24.617264,-9.710491,10.74,0.01,False
57005,-30.797733,-34.82113,-9.417293,12.945,0.01,True
57006,-32.754723,-30.753544,-17.013744,12.3,0.0,False
57007,-31.928274,-42.21955,-14.022848,11.795,0.0,False
