gid,direct_L1,flowmap_L1,persist_L1,direct_L2,flowmap_L2,persist_L2,direct_L3,flowmap_L3,persist_L3
28040,0.673996,0.6322,0.40992707,0.50997126,0.44778013,-0.016468406,0.42789096,0.35716522,-0.1971699
28043,0.7891462,0.6768397,0.6194919,0.6430707,0.5361335,0.28900063,0.57733274,0.47562325,0.1349228
28046,0.87436205,0.84259176,0.7523896,0.77521056,0.7212685,0.56818414,0.7329236,0.68703234,0.47994316
28048,0.7248359,0.68979204,0.40856487,0.5590085,0.52566123,0.011687577,0.48043633,0.4601292,-0.15789533
28050,0.8524084,0.3007037,0.8875789,0.7185625,0.22601312,0.7086071,0.62804234,0.15902275,0.556739
28052,0.889433,0.74755895,0.8558293,0.76019424,0.6865355,0.6465778,0.69175065,0.63942283,0.48416847
28067,0.934508,0.9164879,0.83064127,0.8318752,0.8072888,0.62247306,0.7679674,0.7493672,0.48582035
28080,0.72539157,0.65837485,0.35574132,0.5691179,0.48778188,-0.025364041,0.4684652,0.38549477,-0.20876396
28082,0.89907944,0.7600277,0.7819656,0.76831245,0.663834,0.49578935,0.6946076,0.603732,0.31851864
28085,0.8977844,0.84345526,0.76663685,0.77077657,0.71031785,0.51228416,0.7057768,0.647146,0.37695342
29003,0.7913769,0.7184785,0.61652607,0.7068564,0.6378082,0.42756695,0.6604154,0.59402335,0.37591004
30012,0.7891891,0.76770115,0.60808975,0.6443849,0.61035705,0.30104244,0.55938005,0.5385026,0.17188752
30014,0.42930412,-49.36289,0.44348472,-0.14387381,-49.74332,0.066064954,-0.46101284,-49.752228,-0.0649215
32004,0.85960543,0.83031625,0.7453598,0.7491435,0.71345645,0.4783756,0.67058235,0.63426673,0.27801216
33007,0.9713204,0.9184426,0.960977,0.9414008,0.8677783,0.90125525,0.9145397,0.8157437,0.85336965
33012,0.89930886,0.8008959,0.79269063,0.7466583,0.56276166,0.5186822,0.6524434,0.43576092,0.3198027
33014,0.932112,0.8833033,0.8758565,0.84670925,0.7728384,0.71447253,0.78156036,0.6691061,0.60720015
33018,0.8706738,0.8394977,0.73030126,0.7529154,0.6943762,0.47701246,0.6995637,0.6096327,0.3740095
33019,0.9408758,0.89690864,0.9589462,0.8990145,0.83689445,0.92558527,0.8769541,0.7869266,0.8794761
33021,0.96056736,0.86041194,0.94176894,0.8840044,0.71476895,0.8481437,0.8084354,0.5881381,0.77233136
33022,0.9466518,0.9025918,0.84074044,0.8277548,0.7426372,0.6256368,0.7415607,0.6112828,0.4938678
33023,0.90986985,0.68960714,0.785584,0.78466344,0.50666153,0.56275976,0.7063664,0.3583908,0.47658443
33024,0.9260307,0.8589566,0.8034211,0.81133264,0.6759118,0.55488443,0.71332794,0.5440661,0.43605423
33028,0.8668865,0.80315375,0.71213114,0.6956252,0.5068371,0.41768456,0.5795303,0.26157224,0.26738256
33031,0.72978514,0.6745242,0.5547184,0.53659606,0.42180735,0.15026265,0.43480718,0.2686591,-0.04053414
33032,0.97382027,0.80185795,0.97846967,0.9531443,0.65106106,0.9648307,0.93873525,0.56531703,0.9587883
33033,0.8307579,0.792356,0.72591484,0.68871903,0.6028939,0.48543996,0.6292621,0.4291582,0.37669837
33034,0.93845206,0.8970387,0.95593685,0.89056313,0.8090021,0.917456,0.87273914,0.74192667,0.87286246
33039,0.9304575,0.88408214,0.92034215,0.8554906,0.7353099,0.7900083,0.7858519,0.6149092,0.651242
33053,0.85343885,0.66346526,0.77002287,0.6813771,0.4862795,0.5459429,0.5112456,0.31834644,0.455225
34003,0.9096276,0.728825,0.80911314,0.78754336,0.4719568,0.57433987,0.6967441,0.23937303,0.43071693
34010,0.93727976,0.73719335,0.8949428,0.8473819,0.6462828,0.7256342,0.768379,0.5912235,0.5937176
34011,0.52084965,-1.040956,0.5384742,0.23847055,-1.0898237,0.21924907,-0.0028979778,-1.0711668,0.0790655
35003,0.8854834,0.7591728,0.80759513,0.76408327,0.5748681,0.58029044,0.68039155,0.49226373,0.4155723
35008,0.86177456,0.8272674,0.72278214,0.7077906,0.67621875,0.4167682,0.609398,0.5785863,0.271016
36003,0.8832799,0.80467784,0.74768174,0.7409232,0.55241966,0.5052124,0.63835454,0.35937285,0.39235276
36006,0.91801906,0.8486685,0.87622416,0.83359754,0.6966274,0.69643545,0.7491816,0.57364273,0.5577005
36009,0.85254264,0.77465826,0.7474911,0.71206474,0.611809,0.49081564,0.62162304,0.5276681,0.38707423
36010,0.7303456,0.6711168,0.46836162,0.5612869,0.51088697,0.14020497,0.47025645,0.4389531,0.07385665
36011,0.590006,0.4862426,0.24471664,0.4362436,0.31311065,-0.14761817,0.3354153,0.22675467,-0.26074862
36012,0.7790351,0.74200046,0.60262036,0.58373964,0.5563909,0.23950565,0.4817431,0.44982886,0.08591306
37001,0.8857248,0.8634771,0.8533447,0.80602175,0.7619704,0.6676382,0.73172,0.6737955,0.49912858
37005,0.9335026,0.87723714,0.8769261,0.83785397,0.6966208,0.6924341,0.7227597,0.53167415,0.5526006
37008,0.9091605,0.8536997,0.8388244,0.8150544,0.7278172,0.6062629,0.7186158,0.6186942,0.43637925
37009,0.80775195,0.7506352,0.6493747,0.6482229,0.5484797,0.2982459,0.53715324,0.40836394,0.12329328
37010,0.9098179,0.8480736,0.85317045,0.7991848,0.6145255,0.6630939,0.6969307,0.42615557,0.51283
37011,0.894794,0.8606356,0.77158463,0.76634455,0.68329537,0.48760396,0.6662028,0.57767665,0.3428154
37018,0.6423211,0.58188516,0.2783718,0.4528343,0.3972897,-0.15248549,0.4093305,0.31165928,-0.28347492
37019,0.52843535,0.41435838,0.08553052,0.37388796,0.26009887,-0.30238652,0.32255065,0.16220051,-0.41455853
37020,0.7529074,0.77483153,0.71281445,0.593912,0.6112119,0.3742779,0.5035838,0.48771638,0.14035106
38003,0.76080567,0.660403,0.5562282,0.684766,0.479118,0.38344377,0.66216564,0.3158632,0.35208666
38007,0.3872375,0.28195035,-0.16593385,0.21059757,0.15207547,-0.5170603,0.1764769,0.09578109,-0.6215366
38014,0.56265205,0.46488386,0.12780386,0.43986148,0.35001266,-0.21479857,0.38522196,0.27119172,-0.36907637
38017,0.9471027,0.5309148,0.940879,0.9264105,0.17013133,0.9222143,0.9147519,-0.0506227,0.91957766
