gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now,nse_ung_sim,pen_sim,nse_ung_trust,pen_trust
21018,0.8162961006164551,0.8220001459121704,0.7140418887138367,False,Lyne Water at Lyne Station,-0.0057040452957153,0.1022542119026184,0.7329229116439819,0.0833731889724731,0.6974194645881653,0.1188766360282898
21022,0.7893584370613098,0.7824074029922485,0.8681551814079285,False,Whiteadder Water at Hutton Castle,0.0069510340690612,-0.0787967443466186,0.8736041188240051,-0.0842456817626953,0.8640137910842896,-0.07465535402297974
21023,0.5210555791854858,0.4291540384292602,0.5075938701629639,False,Leet Water at Coldstream,0.0919015407562256,0.0134617090225219,0.5073363184928894,0.0137192606925964,0.46909886598587036,0.05195671319961548
21024,0.8194705247879028,0.8046246767044067,0.8894362449645996,False,Jed Water at Jedburgh,0.014845848083496,-0.0699657201766967,0.8861936330795288,-0.0667231082916259,0.8867834210395813,-0.06731289625167847
22001,0.8456252813339233,0.8342463970184326,0.9250978231430054,False,Coquet at Morwick,0.0113788843154907,-0.079472541809082,0.928675889968872,-0.0830506086349487,0.9313748478889465,-0.0857495665550232
22006,0.8434042930603027,0.8407483696937561,0.8802526593208313,False,Blyth at Hartford Bridge,0.0026559233665466,-0.0368483662605285,0.891353964805603,-0.0479496717453002,0.8874589800834656,-0.04405468702316284
22007,0.8286720514297485,0.8223509192466736,0.9176174402236938,False,Wansbeck at Mitford,0.0063211321830749,-0.0889453887939453,0.9221310615539552,-0.0934590101242065,0.9198691248893738,-0.09119707345962524
22009,0.8220276236534119,0.7821483612060547,0.9016229510307312,False,Coquet at Rothbury,0.0398792624473571,-0.0795953273773193,0.910059094429016,-0.0880314707756042,0.9053428769111633,-0.08331525325775146
23001,0.8653668761253357,0.8645618557929993,0.8402747511863708,False,Tyne at Bywell,0.0008050203323364,0.0250921249389648,0.8357046842575073,0.0296621918678283,0.8483963012695312,0.016970574855804443
23004,0.8422224521636963,0.813693106174469,0.9077379703521729,False,South Tyne at Haydon Bridge,0.0285293459892272,-0.0655155181884765,0.903069019317627,-0.0608465671539306,0.9072529673576355,-0.06503051519393921
23006,0.8353042006492615,0.8115421533584595,0.878757119178772,False,South Tyne at Featherstone,0.023762047290802,-0.0434529185295105,0.876567542552948,-0.0412633419036865,0.8895508050918579,-0.054246604442596436
23007,0.8062993884086609,0.724506139755249,0.7473400831222534,False,Derwent at Rowlands Gill,0.0817932486534118,0.0589593052864074,0.7114300727844238,0.094869315624237,0.7298223972320557,0.07647699117660522
23008,0.8074567317962646,0.802951455116272,0.819473922252655,False,Rede at Rede Bridge,0.0045052766799926,-0.0120171904563903,0.8234481811523438,-0.0159914493560791,0.826373279094696,-0.018916547298431396
23011,0.8144111037254333,0.78936368227005,0.872065007686615,False,Kielder Burn at Kielder,0.0250474214553833,-0.0576539039611816,0.8710284233093262,-0.0566173195838928,0.8637307286262512,-0.04931962490081787
24001,0.8444902896881104,0.8301209211349487,0.7976052761077881,False,Wear at Sunderland Bridge,0.0143693685531616,0.0468850135803222,0.7983849048614502,0.0461053848266601,0.7966954708099365,0.04779481887817383
24003,0.7998621463775635,0.7658594846725464,0.8833315372467041,False,Wear at Stanhope,0.034002661705017,-0.0834693908691406,0.8684810400009155,-0.068618893623352,0.8813942670822144,-0.08153212070465088
24004,0.8351766467094421,0.8284978270530701,0.8774507641792297,False,Bedburn Beck at Bedburn,0.006678819656372,-0.0422741174697876,0.8765047788619995,-0.0413281321525573,0.8655423521995544,-0.030365705490112305
24005,0.7705209255218506,0.7304286360740662,0.7019617557525635,False,Browney at Burnhall,0.0400922894477844,0.0685591697692871,0.6803838014602661,0.0901371240615844,0.7110069394111633,0.059513986110687256
25001,0.8398851752281189,0.8426618576049805,0.7849433422088623,False,Tees at Darlington Broken Scar,-0.0027766823768615,0.0549418330192565,0.7740919589996338,0.0657932162284851,0.7983396053314209,0.041545569896698
25006,0.7979220747947693,0.6926174163818359,0.7637428045272827,False,Greta at Rutherford Bridge,0.1053046584129333,0.0341792702674865,0.7836910486221313,0.0142310261726379,0.7422395348548889,0.05568253993988037
