gid,persistence_L1,weather_L1,ar_L1,ar_donor_L1,ar_perfect_L1,persistence_L2,ar_donor_L2,persistence_L3,ar_donor_L3
22006,0.43907350301742554,0.7599440813064575,0.7924169898033142,0.7863121032714844,0.8718326091766357,0.002234160900115967,0.3697900176048279,-0.17532658576965332,0.27910512685775757
22007,0.3997657895088196,0.6606033444404602,0.6969829797744751,0.6846328377723694,0.8531262278556824,-0.06101727485656738,0.3172565698623657,-0.27207398414611816,0.24291419982910156
22009,0.35808080434799194,0.6922812461853027,0.7206671237945557,0.7200409173965454,0.8521330952644348,-0.07330739498138428,0.3279786705970764,-0.2676433324813843,0.2483588457107544
23001,0.3092314600944519,0.7394927740097046,0.7667574882507324,0.7615242004394531,0.8823338747024536,-0.07717978954315186,0.35138386487960815,-0.23013639450073242,0.2785535454750061
23004,0.1752774715423584,0.6126344799995422,0.6313365697860718,0.6349100470542908,0.8554830551147461,-0.22922027111053467,0.2683749198913574,-0.3754509687423706,0.2102488875389099
23006,0.11481386423110962,0.5164842009544373,0.5394318103790283,0.5429742932319641,0.842725932598114,-0.29363977909088135,0.22294753789901733,-0.43557608127593994,0.17420822381973267
23007,0.5041599869728088,0.6296543478965759,0.6801766157150269,0.6737639904022217,0.8612202405929565,0.15648192167282104,0.3800937533378601,-0.04106748104095459,0.3048463463783264
23008,0.2011520266532898,0.6130976676940918,0.6414084434509277,0.6351264715194702,0.8303709030151367,-0.23014962673187256,0.2533683180809021,-0.4043785333633423,0.20145821571350098
23011,-0.03409397602081299,0.4104815721511841,0.43309593200683594,0.4353099465370178,0.8079710006713867,-0.4075472354888916,0.16712141036987305,-0.552147388458252,0.13343143463134766
24001,0.3371913433074951,0.7173601388931274,0.7318222522735596,0.7273144125938416,0.8506736755371094,-0.05103635787963867,0.3507062792778015,-0.22281920909881592,0.27216219902038574
24003,0.1527729034423828,0.5054231882095337,0.5291876792907715,0.5306990146636963,0.8121162056922913,-0.27092063426971436,0.25033003091812134,-0.3810868263244629,0.19349175691604614
24004,0.38772332668304443,0.6258598566055298,0.6509281992912292,0.6631649732589722,0.8341485261917114,0.032608747482299805,0.36291640996932983,-0.14870595932006836,0.28859251737594604
24005,0.3095024824142456,0.5459208488464355,0.5842432379722595,0.5857371091842651,0.7900909781455994,-0.1062767505645752,0.27904701232910156,-0.3237036466598511,0.20512539148330688
25001,0.2773897051811218,0.6967613697052002,0.7277590036392212,0.7237344980239868,0.846286952495575,-0.09988057613372803,0.3365938067436218,-0.2548222541809082,0.26044243574142456
25006,0.18161773681640625,0.526498019695282,0.5455502867698669,0.5509718656539917,0.8007860779762268,-0.26857686042785645,0.239404559135437,-0.40030181407928467,0.183465838432312
25012,0.05249166488647461,0.4071708917617798,0.43063127994537354,0.4420778155326843,0.8324408531188965,-0.3081929683685303,0.20987218618392944,-0.43687498569488525,0.16241228580474854
25020,0.6874350309371948,0.7819209694862366,0.804248571395874,0.8084779381752014,0.825851559638977,0.2989659905433655,0.501388430595398,0.02796804904937744,0.34919726848602295
26003,0.9875416159629822,0.5751979351043701,0.9607035517692566,0.9422318935394287,0.9594752192497253,0.9784488677978516,0.9073861241340637,0.9723032712936401,0.9043654799461365
27001,0.37870341539382935,0.7767004370689392,0.8044697046279907,0.8064868450164795,0.8820528984069824,-0.031218767166137695,0.38570892810821533,-0.2129840850830078,0.3043886423110962
27003,0.7193080186843872,0.8982675075531006,0.9288768768310547,0.9259073138237,0.9440544843673706,0.4250938892364502,0.6329257488250732,0.2304975390434265,0.4790462255477905
27006,0.3460009694099426,0.6287166476249695,0.6712034344673157,0.666015625,0.8378187417984009,0.032731056213378906,0.3775896430015564,-0.1330047845840454,0.3062525987625122
27007,0.41806310415267944,0.8251035809516907,0.836668848991394,0.8435307145118713,0.8661819696426392,0.001055896282196045,0.4223402738571167,-0.1487586498260498,0.3079545497894287
27009,0.8177292346954346,0.8560224771499634,0.9028221964836121,0.9002518653869629,0.8754837512969971,0.5564835071563721,0.7864555716514587,0.3771435022354126,0.5943114757537842
27021,0.5996886491775513,0.8112198114395142,0.8524478673934937,0.858198881149292,0.8992455005645752,0.2270241379737854,0.49366575479507446,0.03585672378540039,0.3654822111129761
27023,0.26566213369369507,0.6012299060821533,0.627754271030426,0.6227622032165527,0.847348690032959,-0.05661916732788086,0.33288007974624634,-0.21102988719940186,0.26566487550735474
27025,0.45959776639938354,0.6919570565223694,0.7681470513343811,0.7617043256759644,0.8551397919654846,0.06779974699020386,0.39985549449920654,-0.11555492877960205,0.29815423488616943
27026,0.3080902099609375,0.5992610454559326,0.6186586618423462,0.6110068559646606,0.8353924751281738,-0.003570556640625,0.3524583578109741,-0.15644240379333496,0.29234611988067627
27029,0.44256967306137085,0.6965365409851074,0.7277205586433411,0.7241754531860352,0.9032778143882751,0.12632548809051514,0.4205532670021057,-0.040277838706970215,0.3394024968147278
27030,0.5155700445175171,0.7034990787506104,0.7798832654953003,0.777004599571228,0.8744621872901917,0.15629935264587402,0.42955005168914795,-0.03409445285797119,0.32452183961868286
27032,0.2604520916938782,-0.19371509552001953,0.2046005129814148,0.3027483820915222,0.5191518068313599,-0.1571718454360962,0.031321823596954346,-0.2865288257598877,-0.05511033535003662
27034,0.33541810512542725,0.7258104085922241,0.7478530406951904,0.7567500472068787,0.8694405555725098,-0.040192604064941406,0.35903316736221313,-0.19910717010498047,0.26999688148498535
27035,0.6300652027130127,0.8369315266609192,0.8538746237754822,0.8509508371353149,0.9094737768173218,0.2814221978187561,0.5109684467315674,0.0765950083732605,0.38317304849624634
27038,0.7674416303634644,0.11121177673339844,0.8407975435256958,0.8222321271896362,0.8495644330978394,0.5654796361923218,0.6602064371109009,0.4781351089477539,0.6241714954376221
27042,0.4848363995552063,0.6986796855926514,0.7110852599143982,0.7193147540092468,0.8518129587173462,0.17402637004852295,0.430852472782135,-0.00968790054321289,0.37463945150375366
27047,-0.029366254806518555,0.36625057458877563,0.37468695640563965,0.3817087411880493,0.8457521200180054,-0.3880566358566284,0.17694121599197388,-0.4988909959793091,0.13096123933792114
27051,0.18341171741485596,0.48373931646347046,0.5009746551513672,0.5122138261795044,0.868354082107544,-0.18188142776489258,0.2749401926994324,-0.2965965270996094,0.22460508346557617
27071,0.7398825883865356,0.8413873910903931,0.8764103055000305,0.8784637451171875,0.8532607555389404,0.40710383653640747,0.6907843947410583,0.21387505531311035,0.48696017265319824
28001,0.389350950717926,0.47198760509490967,0.657721996307373,0.6497344374656677,0.7475683093070984,0.03531026840209961,0.3864942789077759,-0.1380622386932373,0.31802457571029663
28008,0.5520978569984436,0.7776477932929993,0.8066295981407166,0.8087964653968811,0.8766583204269409,0.33063650131225586,0.5424579381942749,0.20048105716705322,0.46455442905426025
28009,0.9042214155197144,0.8855652213096619,0.9211196899414062,0.9172242879867554,0.9225466251373291,0.7284571528434753,0.8507618308067322,0.5665807723999023,0.7078449726104736
28012,0.847760796546936,0.8137882351875305,0.89738529920578,0.894862174987793,0.8768962621688843,0.6083287000656128,0.7804871797561646,0.4302980303764343,0.6164647340774536
